a1:2, a3:5, m: 1, u0: 1

i: RK, Exact, inaccuracy
478: 3.69596e-05, 3.84412e-05, 1.48161e-06
479: 3.62265e-05, 3.768e-05, 1.45349e-06
480: 3.5508e-05, 3.69339e-05, 1.42591e-06
481: 3.48037e-05, 3.62025e-05, 1.39884e-06
482: 3.41134e-05, 3.54857e-05, 1.37229e-06
483: 3.34368e-05, 3.4783e-05, 1.34625e-06
484: 3.27736e-05, 3.40943e-05, 1.32069e-06
485: 3.21235e-05, 3.34191e-05, 1.29562e-06
486: 3.14864e-05, 3.27574e-05, 1.27103e-06
487: 3.08619e-05, 3.21088e-05, 1.2469e-06
488: 3.02497e-05, 3.1473e-05, 1.22323e-06
489: 2.96498e-05, 3.08498e-05, 1.2e-06
490: 2.90617e-05, 3.02389e-05, 1.17722e-06
491: 2.84853e-05, 2.96401e-05, 1.15487e-06
492: 2.79203e-05, 2.90532e-05, 1.13294e-06
493: 2.73665e-05, 2.84779e-05, 1.11143e-06
494: 2.68237e-05, 2.7914e-05, 1.09033e-06
495: 2.62917e-05, 2.73613e-05, 1.06962e-06
496: 2.57702e-05, 2.68195e-05, 1.04931e-06
497: 2.52591e-05, 2.62884e-05, 1.02938e-06
498: 2.47581e-05, 2.57679e-05, 1.00983e-06
499: 2.4267e-05, 2.52576e-05, 9.90653e-07
